MAPID;YEAR_CREATED;NAME;STREET_NUMBER;STREET_DIRECTION;STREET_NAME;STREET_TYPE;MERGED_ADDRESS;NUMBER_OF_PLOTS;NUMBER_OF_FOOD_TREES;NOTES;FOOD_TREE_VARIETIES;OTHER_FOOD_ASSETS;JURISDICTION;STEWARD_OR_MANAGING_ORGANIZATION;PUBLIC_E_MAIL;WEBSITE;Geo Local Area;Geom;geo_point_2d
FA072;2008;Hastings St Folk Garden;117;E;Hastings;St;117 E Hastings St, Vancouver, BC;150;;;;;Private;Portland Housing Society;;;Downtown;"{""coordinates"": [-123.1015964, 49.2814414], ""type"": ""Point""}";49.2814414, -123.1015964
FA079;2009;Kaslo Gardens Community Vegetable Garden;2765;;Cooperative;Way;2765 Cooperative Way, Vancouver, BC;16;;;;;Private;Kaslo Gardens Housing Cooperative;;;Renfrew-Collingwood;"{""coordinates"": [-123.0490748, 49.257436], ""type"": ""Point""}";49.257436, -123.0490748
FA083;2008;16th & Pine Community Garden;1708;W;16th;Av;1708 W 16th Av, Vancouver, BC;16;;;;;Private;;16thpinecommunitygarden@gmail.com;;Fairview;"{""coordinates"": [-123.1437758, 49.2570894], ""type"": ""Point""}";49.2570894, -123.1437758
FA084;2014;Kitsilano Community Centre Garden;2690;;Larch;St;2690 Larch St, Vancouver, BC;15;;;;;Park Board;Kitsilano Community Centre Association;"kitscc@vancouver.ca
604-257-6976";https://kitscc.com/facilities/collaborative-community-garden/;Kitsilano;"{""coordinates"": [-123.16207568, 49.26196809], ""type"": ""Point""}";49.26196809, -123.16207568
FA087;2009;Kiwassa Neighbourhood House Community Garden;2425;;Oxford;St;2425 Oxford St, Vancouver, BC;11;;;;;Private;Kiwassa Neighbourhood House;nancym@kiwassa.ca;http://www.kiwassa.ca/;Hastings-Sunrise;"{""coordinates"": [-123.05605, 49.2857204], ""type"": ""Point""}";49.2857204, -123.05605
FA096;2013;Matheson Heights Housing Coop;3554;;Sparrow;Place;3554 Sparrow Place, Vancouver, BC;16;;;;;Private;;;;Killarney;"{""coordinates"": [-123.0257105, 49.2131744], ""type"": ""Point""}";49.2131744, -123.0257105
FA098;1996;McSpadden Park Community Garden;2125;;Victoria;Drive;2125 Victoria  Drive, Vancouver, BC;18;;;;;Park Board;McSpadden Agricultural Project Society;mcspaddengarden@gmail.com;http://mcspaddengarden.blogspot.ca/;Grandview-Woodland;"{""coordinates"": [-123.06644596, 49.26651352], ""type"": ""Point""}";49.26651352, -123.06644596
FA113;2006;Pine St. Community Garden;1605;W;6th;Av;1605 W 6th Av, Vancouver, BC;40;;;;;City;Pine Community Garden Association;pinestreetcommunitygardens@gmail.com;http://pinestreetgardens.org/;Fairview;"{""coordinates"": [-123.1413634, 49.266421], ""type"": ""Point""}";49.266421, -123.1413634
FA118;2011;Robson Park Coop;234;E;15th;Av;234 E 15th Av, Vancouver, BC;40;;;;;Private;Robson Park Co-op;;;Mount Pleasant;"{""coordinates"": [-123.099907, 49.2572409], ""type"": ""Point""}";49.2572409, -123.099907
FA126;1978;Sparwood Park;6998;;Arlington;St;6998 Arlington St, Vancouver, BC;0;17;;Crabapple, hazelnut;;Park Board;;;;Killarney;"{""coordinates"": [-123.0293224, 49.220271], ""type"": ""Point""}";49.220271, -123.0293224
FA129;1990;Vancouver Compost Demonstration Garden;2150;;Maple;St;2150 Maple St, Vancouver, BC;0;;;;;City;SPEC;;;Kitsilano;"{""coordinates"": [-123.1503918, 49.2666383], ""type"": ""Point""}";49.2666383, -123.1503918
FA130;2015;St. Augustines Anglican Church;8680;;Hudson;St;8680 Hudson  St, Vancouver, BC;8;;;;;Private;St. Augustines Anglican Church;;;Marpole;"{""coordinates"": [-123.134266, 49.207178], ""type"": ""Point""}";49.207178, -123.134266
FA135;2002;Tea Swamp Community Garden;255;E;16th;Av;255 E 16th Av, Vancouver, BC;20;4;;2 apple, 2 fig, raspberry canes, blueberry, grape;;Park Board;Urban Diggers Society;teaswampgarden@gmail.com;http://dig.vcn.bc.ca/teaswampgarden;Mount Pleasant;"{""coordinates"": [-123.09901122, 49.25693534], ""type"": ""Point""}";49.25693534, -123.09901122
FA143;2007;Urban Acres;1601;W;1st;Av;1601 W 1st  Av, Vancouver, BC;30;;;;;Private;Urban Acres;;;Fairview;"{""coordinates"": [-123.1410769, 49.270591], ""type"": ""Point""}";49.270591, -123.1410769
FA144;pre-1970;Valdez Park;3210;W;22nd;Av;3210 W 22nd Av, Vancouver, BC;0;6;;Apple;;Park Board;;;;Dunbar-Southlands;"{""coordinates"": [-123.1764742, 49.2524296], ""type"": ""Point""}";49.2524296, -123.1764742
FA149;2013;Woodland Park Community Garden;705;;Woodland;Drive;705 Woodland Drive, Vancouver, BC;64;3;;Jonamac Apple, Italian Prune, Pacific Crabapple;;Park Board;Village Vancouver Transition Society;woodlandparkgarden@gmail.com;http://woodlandcommunitygarden.wordpress.com;Grandview-Woodland;"{""coordinates"": [-123.07383824, 49.27845355], ""type"": ""Point""}";49.27845355, -123.07383824
FA156;2016;Pender Community Garden;2595;E;Pender;St;2595 E Pender St, Vancouver, BC;;;;;;Private;;;;Hastings-Sunrise;"{""coordinates"": [-123.052293, 49.28068], ""type"": ""Point""}";49.28068, -123.052293
FA158;2010;Moberley Cultural Herb Garden;7646;;Prince Albert;St;7646 Prince Albert St, Vancouver, BC;5;;;;;Park Board;Moberly Arts and Cultural Centre;Moberlyarts@vancouver.ca;https://moberlyartscentre.ca/artists-residencies/;Sunset;"{""coordinates"": [-123.08685681, 49.21496752], ""type"": ""Point""}";49.21496752, -123.08685681
FA163;2017;Cambie and 16th Avenue;;;;;;100;;;;;Private;Shifting Growth;;;Riley Park;"{""coordinates"": [-123.114695, 49.256768], ""type"": ""Point""}";49.256768, -123.114695
FA167;2017;Mount Pleasant Demonstration Garden;24;W;16th;Av;24 W 16th Av, Vancouver, BC;8;;;;;Private;;;;Riley Park;"{""coordinates"": [-123.105469, 49.256471], ""type"": ""Point""}";49.256471, -123.105469
FA168;2017;Oak and 41st;;;;;;100;;;;;Private;Shifting Growth;;;Oakridge;"{""coordinates"": [-123.128507, 49.233617], ""type"": ""Point""}";49.233617, -123.128507
FA170;2018;Brightside Home Foundation - Wallace Wilson;1620;E;6th;Av;1620 E 6th Av, Vancouver, BC;3;;;;;Private;Brightside Community Homes Foundation;;;Grandview-Woodland;"{""coordinates"": [-123.071167, 49.264956], ""type"": ""Point""}";49.264956, -123.071167
FA179;2019;The Hopeful Garden;548;E;28th;Av;548 E 28th Av, Vancouver, BC;3;;;;;Private;Inner Hope Youth Ministries;None;;Riley Park;"{""coordinates"": [-123.0929942, 49.2455678], ""type"": ""Point""}";49.2455678, -123.0929942
FA183;2019;221A;271;;Union;St;271 Union St, Vancouver, BC;10;;;;;Private;;info@semi-public.com;http://semi-public.com;Strathcona;"{""coordinates"": [-123.097379, 49.2778879], ""type"": ""Point""}";49.2778879, -123.097379
FA184;;Van Tech secondary school;2600;E;Broadway;;2600 E Broadway , Vancouver, BC;0;5;;;;Private;;;;Renfrew-Collingwood;"{""coordinates"": [-123.051705, 49.261776], ""type"": ""Point""}";49.261776, -123.051705
FA186;2020;FSE Herb Garden (Fransiscan Sister of the Eucharist);2811;;Venables;St;2811 Venables St, Vancouver, BC;5;;;;;Private;Franciscan Sisters of the Eucharist;samc@ourfse.org;;Hastings-Sunrise;"{""coordinates"": [-123.046256, 49.276805], ""type"": ""Point""}";49.276805, -123.046256
FA004;2007;1755 West 14th - Private apartment building garden;1755;W;14th;Av;1755 W 14th Av, Vancouver, BC;;;;;;Private;Apartment residents;;;Fairview;"{""coordinates"": [-123.1448703, 49.2590496], ""type"": ""Point""}";49.2590496, -123.1448703
FA008;;Arbutus Village Park;4202;;Valley;Drive;4202 Valley Drive, Vancouver, BC;0;9;;Crabapple;;Park Board;;;;Arbutus Ridge;"{""coordinates"": [-123.1549951, 49.2507172], ""type"": ""Point""}";49.2507172, -123.1549951
FA010;;Barclay Heritage Square;1433;;Barclay;St;1433 Barclay St, Vancouver, BC;0;2;;Apple;;Park Board;;;;West End;"{""coordinates"": [-123.13284501, 49.28738755], ""type"": ""Point""}";49.28738755, -123.13284501
FA018;2011;Cartier Park;390;E;36th;Av;390 E 36th Av, Vancouver, BC;0;6;;Apple;;Park Board;;;;Riley Park;"{""coordinates"": [-123.0975115, 49.2376052], ""type"": ""Point""}";49.2376052, -123.0975115
FA021;2013;Cedar Cottage Neighourhood House Edible Garden;4065;;Victoria;Drive;4065 Victoria Drive, Vancouver, BC;12;;;;;Private;Cedar Cottage Neighbourhood House;;;Kensington-Cedar Cottage;"{""coordinates"": [-123.0651476, 49.2488871], ""type"": ""Point""}";49.2488871, -123.0651476
FA022;;Champlain Heights Park;3351;;Maquinna;Drive;3351 Maquinna  Drive, Vancouver, BC;0;1;;Apple;;Park Board;;;;Killarney;"{""coordinates"": [-123.0326603, 49.2164913], ""type"": ""Point""}";49.2164913, -123.0326603
FA023;2010;Champlain Place Community Garden;3347;E;58th;Av;3347 E 58th Av, Vancouver, BC;8;;;;;Private;BC Housing;;;Killarney;"{""coordinates"": [-123.0352463, 49.2167296], ""type"": ""Point""}";49.2167296, -123.0352463
FA030;1993;China Creek Housing Co-op;1230;E;8th;Av;1230 E  8th  Av, Vancouver, BC;30;;;;;City;China Creek Housing Co-op;;;Mount Pleasant;"{""coordinates"": [-123.0832689, 49.2643106], ""type"": ""Point""}";49.2643106, -123.0832689
FA031;2006;China Creek North Park;1001;E;7th;Av;1001 E 7th Av, Vancouver, BC;0;38;;Apple, cherry, pear, plum;;Park Board;;;;Mount Pleasant;"{""coordinates"": [-123.07798, 49.2611153], ""type"": ""Point""}";49.2611153, -123.07798
FA032;2013;Church of the Good Sheppard;189;W;11th;Av;189 W 11th Av, Vancouver, BC;8;;;;;Private;;;;Mount Pleasant;"{""coordinates"": [-123.1089655, 49.2614867], ""type"": ""Point""}";49.2614867, -123.1089655
FA038;2014;Clark Park Orchard;1500;E;15th;Av;1500 E 15th Av, Vancouver, BC;0;9;;;;Park Board;Trout Lake Vancouver Community Centre Association;clarkparkorchard@gmail.com;https://clarkparkorchard.wordpress.com/;Kensington-Cedar Cottage;"{""coordinates"": [-123.073727, 49.257484], ""type"": ""Point""}";49.257484, -123.073727
FA044;1995;Cypress Community Garden;1800;W;6th;Av;1800 W 6th Av, Vancouver, BC;55;15;;Clapp's Favourite Pear, dwarf;;City;;cypress@vcn.bc.ca;http://www.cypresscommunitygarden.ca/;Kitsilano;"{""coordinates"": [-123.1456636, 49.2662772], ""type"": ""Point""}";49.2662772, -123.1456636
FA058;2014;Fraserlands Community Garden (Riverfront Park);2750;E;South Kent;St;2750 E South Kent St, Vancouver, BC;38;;;;;Park Board;South Vancouver Neighbourhood House;fraserlandscommunitygardening@gmail.com;https://www.facebook.com/FraserlandsCommunityGardening/;Killarney;"{""coordinates"": [-123.05065448, 49.20587682], ""type"": ""Point""}";49.20587682, -123.05065448
FA061;2007;Frog Hollow Neighbourhood House Garden 2;2131;;Renfrew;St;2131 Renfrew  St, Vancouver, BC;6;;;;;City;Frog Hollow Neighbourhood House;food@froghollow.bc.ca;http://www.froghollow.bc.ca;Hastings-Sunrise;"{""coordinates"": [-123.044393, 49.2654085], ""type"": ""Point""}";49.2654085, -123.044393
FA064;2012;Grace Memorial Church;803;E;16th;Av;803 E 16th Av, Vancouver, BC;15;;;;;Private;Grace Memorial Church;;;Mount Pleasant;"{""coordinates"": [-123.0874186, 49.2564075], ""type"": ""Point""}";49.2564075, -123.0874186
FA080;2010;Kerrisdale Community Garden;7500;;Angus;Drive;7500 Angus Drive, Vancouver, BC;22;4;;anjou dwarf pear, compact stella, shamrock, persimmon;;City;Kerrisdale Community Garden Committee (under Kerrisdale Community Centre Society);kerrisdalecommunitygarden@gmail.com;http://kerrisdalecommunitygarden.com;Marpole;"{""coordinates"": [-123.1482727, 49.2177463], ""type"": ""Point""}";49.2177463, -123.1482727
FA090;2011;Langara College Community Garden;6648;;Ontario;St;6648 Ontario St, Vancouver, BC;26;;;;;Private;Langara Community Garden Society;;https://courseweb.langara.bc.ca/langaracommunitygarden/;Sunset;"{""coordinates"": [-123.105789, 49.2245248], ""type"": ""Point""}";49.2245248, -123.105789
FA092;2013;Maclean Housing;705;;Jackson;Av;705 Jackson Av, Vancouver, BC;65;;;;;Private;;;;Strathcona;"{""coordinates"": [-123.0935914, 49.2784286], ""type"": ""Point""}";49.2784286, -123.0935914
FA095;2013;Marpole Place expansion;1305;W;70th;Av;1305 W 70th Av, Vancouver, BC;6;;;;;Private;;;;Marpole;"{""coordinates"": [-123.1347288, 49.2087963], ""type"": ""Point""}";49.2087963, -123.1347288
FA097;2009;McCleery Golf Course;7188;;Macdonald;St;7188 Macdonald  St, Vancouver, BC;0;5;;Cherry, apple;;Park Board;;;;Kerrisdale;"{""coordinates"": [-123.1683146, 49.221493], ""type"": ""Point""}";49.221493, -123.1683146
FA099;2006;Means of Production Garden;1001;E;7th;Av;1001 E 7th Av, Vancouver, BC;20;25;;Mix of cherry, plum, apple;;Park Board;Environmental Youth Alliance;earthandgleaners@gmail.com;https://moparrc.com/;Mount Pleasant;"{""coordinates"": [-123.08501953, 49.2655009], ""type"": ""Point""}";49.2655009, -123.08501953
FA103;2006;MOBY Community Garden;1737;E;11th;Av;1737 E 11th Av, Vancouver, BC;45;;;;;City;My Own Back Yard;mobyrevival@gmail.com | mobycommunitygarden@gmail.com;http://mobygarden.wordpress.com/;Kensington-Cedar Cottage;"{""coordinates"": [-123.0688879, 49.2604731], ""type"": ""Point""}";49.2604731, -123.0688879
FA107;2008;New Brighton Park;3201;;New Brighton;Road;3201 New Brighton Road, Vancouver, BC;0;50;;Apple, pear, cherry;;Park Board;;;;Hastings-Sunrise;"{""coordinates"": [-123.0361825, 49.288757], ""type"": ""Point""}";49.288757, -123.0361825
FA112;2007;Pine  St. Community Orchard;1708;W;6th;Av;1708 W 6th Av, Vancouver, BC;47;;;;;City and Park Board;Pine Community Garden Association;pinestreetcommunitygardens@gmail.com;http://pinestreetgardens.org/;Fairview;"{""coordinates"": [-123.1435022, 49.2662399], ""type"": ""Point""}";49.2662399, -123.1435022
FA115;2014;Briarpatch Garden;248;;Princess;Av;248 Princess Av, Vancouver, BC;20;;;;;Private;Neighbours;briargarden@protonmail.com;;Strathcona;"{""coordinates"": [-123.091439, 49.282147], ""type"": ""Point""}";49.282147, -123.091439
FA117;1996;Robson Park Community Garden;565;;Kingsway;;565 Kingsway , Vancouver, BC;44;;;;;Park Board;Urban Diggers Society;robsongarden@gmail.com;;Mount Pleasant;"{""coordinates"": [-123.09231872, 49.25867473], ""type"": ""Point""}";49.25867473, -123.09231872
FA119;2015;Rooted for Life Garden;1415;;Barclay;St;1415 Barclay St, Vancouver, BC;;;;;;Private;;;;West End;"{""coordinates"": [-123.132872, 49.287355], ""type"": ""Point""}";49.287355, -123.132872
FA121;1988;Sahalli  Community Garden;2398;;Fraser;St;2398 Fraser St, Vancouver, BC;54;;;;;Park Board;Urban Diggers Society;"dig@vcn.bc.ca
604-879-3676";http://dig.vcn.bc.ca/;Mount Pleasant;"{""coordinates"": [-123.0885931, 49.2636848], ""type"": ""Point""}";49.2636848, -123.0885931
FA127;2006;SPEC Cambie Communal Garden;2615;;Cambie;St;2615 Cambie St, Vancouver, BC;17;;;;;City;SPEC;cambiesqvol@gmail.com;;Fairview;"{""coordinates"": [-123.1155183, 49.2615932], ""type"": ""Point""}";49.2615932, -123.1155183
FA128;2012;SPEC Rooftop Garden;535;;Hornby;St;535 Hornby St, Vancouver, BC;9;;;;;Private;SPEC;;;Downtown;"{""coordinates"": [-123.1178337, 49.2857348], ""type"": ""Point""}";49.2857348, -123.1178337
FA131;2003;Stanley Park Community Garden;975;;Lagoon;Drive;975 Lagoon Drive, Vancouver, BC;32;;;;;Park Board;;innersanctum2003@yahoo.ca;;;"{""coordinates"": [-123.13855459, 49.29367168], ""type"": ""Point""}";49.29367168, -123.13855459
FA133;1985;Strathcona Community Garden;857;;Malkin;Av;857 Malkin Av, Vancouver, BC;200;104;;"Bramley's seedling apple; cannor select; cortland; golden delicious smoothee; jonafree; nova mac; shamrock; flemish beauty; hosui; golden spice (hardy); ure pear (hardy); italian plum; pembina plum (hardy); redglow plum (hardy); compact stella cherry; lapin cherry; schatten morello cherry; van cherry; conference dwarf pear; flemish beauty dwarf pear; highland dwarf pear; red sensation dwarf pear; sierra dwarf pear; persimmon fuju and more, Satsuma Plum, Jonamac Apple, Shamrock Apple, Northern Spy Apple, Meteor cherry";;Park Board;Strathcona Community Gardeners Soc.;strathcona.garden.info@gmail.com;http://strathconagardens.ca/;Strathcona;"{""coordinates"": [-123.08797176, 49.27600308], ""type"": ""Point""}";49.27600308, -123.08797176
FA138;2015;The James Garden & Social Community;288;W;1st;Av;288 W 1st  Av, Vancouver, BC;12;;;;;Private;;;;Mount Pleasant;"{""coordinates"": [-123.111763, 49.269003], ""type"": ""Point""}";49.269003, -123.111763
FA146;2011;Village on False Creek;215;W;1st;Av;215 W 1st  Av, Vancouver, BC;47;0;;;;City;Village on False Creek Community Gardens Society;villagecommunitygardens@gmail.com;http://villagecommunitygardens.com/;Mount Pleasant;"{""coordinates"": [-123.110591204405, 49.2708223341636], ""type"": ""Point""}";49.2708223341636, -123.110591204405
FA147;1999;Wall Street Community Garden;2099;;Wall;St;2099 Wall St, Vancouver, BC;42;;;;;Park Board;Kiwassa Neighbourhood Services Association;wallstreetgarden@gmail.com;;Grandview-Woodland;"{""coordinates"": [-123.06186949, 49.28656975], ""type"": ""Point""}";49.28656975, -123.06186949
FA148;;Westmount Park;4651;W;2nd;Av;4651 W 2nd Av, Vancouver, BC;0;2;;Apple;;Park Board;;;;West Point Grey;"{""coordinates"": [-123.2144218, 49.2718445], ""type"": ""Point""}";49.2718445, -123.2144218
FA151;2016;Deeper Roots Seniors Community Garden;5350;;Baillie;St;5350 Baillie St, Vancouver, BC;10;;;;;Private;Oakridge Adventist Church;;http://deeproots.ca;South Cambie;"{""coordinates"": [-123.1218448, 49.2369358], ""type"": ""Point""}";49.2369358, -123.1218448
FA152;2016;Aberthau Garden Project;4397;W;2nd;Av;4397 W 2nd Av, Vancouver, BC;10;;;;;Park Board;;ross@villagevancouver.ca;http://www.villagevancouver.ca/page/aberthau-garden-project-1;West Point Grey;"{""coordinates"": [-123.20477766, 49.27214278], ""type"": ""Point""}";49.27214278, -123.20477766
FA154;2016;Community Alternatives Coop Community Garden;1937;W;2nd;Av;1937 W 2nd Av, Vancouver, BC;20;;;;;Private;;;;Kitsilano;"{""coordinates"": [-123.149194, 49.270065], ""type"": ""Point""}";49.270065, -123.149194
FA155;2016;Vera Community Garden;575;SW;Marine;Drive;575 SW Marine Drive, Vancouver, BC;12;;;;;Private;;;http://www.communityalternativescoop.com;Marpole;"{""coordinates"": [-123.119179, 49.209683], ""type"": ""Point""}";49.209683, -123.119179
FA160;2017;Alma and 10th;;;;;;100;;;;;Private;Shifting Growth;;;Kitsilano;"{""coordinates"": [-123.185464, 49.26324], ""type"": ""Point""}";49.26324, -123.185464
FA162;2017;Broadway and Victoria;;;;;;100;;;;;Private;Shifting Growth;;;Kensington-Cedar Cottage;"{""coordinates"": [-123.064979, 49.262089], ""type"": ""Point""}";49.262089, -123.064979
FA165;2017;Dunbar and 39th;;;;;;100;;;;;Private;Shifting Growth;;;Dunbar-Southlands;"{""coordinates"": [-123.18568, 49.236212], ""type"": ""Point""}";49.236212, -123.18568
FA166;2017;HFBC Housing Foundation;2085;W;5th;Av;2085 W 5th Av, Vancouver, BC;12;;;;;Private;;;;Kitsilano;"{""coordinates"": [-123.152475, 49.267434], ""type"": ""Point""}";49.267434, -123.152475
FA169;2018;Brightside Home Foundation - King's Daughters;1400;E;11th;Av;1400 E 11th Av, Vancouver, BC;3;;;;;Private;Brightside Community Homes Foundation;;;Kensington-Cedar Cottage;"{""coordinates"": [-123.075082, 49.260319], ""type"": ""Point""}";49.260319, -123.075082
FA174;2016;HFBC Housing Foundation;2924;;Venables;St;2924 Venables St, Vancouver, BC;12;;;;;Private;HFBC Housing Foundation;;;Hastings-Sunrise;"{""coordinates"": [-123.043281, 49.276211], ""type"": ""Point""}";49.276211, -123.043281
FA176;;John Hendry (Trout Lake) Park;3300;;Victoria;Drive;3300 Victoria Drive, Vancouver, BC;4;;;;;Park Board;;;https://cedarcottagefoodnetwork.com/projects-events/medicine-wheel-garden-at-john-henry-park/;Kensington-Cedar Cottage;"{""coordinates"": [-123.06367871, 49.255098], ""type"": ""Point""}";49.255098, -123.06367871
FA177;2018;Riley Park;50;E;30th;Av;50 E 30th Av, Vancouver, BC;20;;;;;Park Board;;info@rileyparkgarden.org;https://www.rileyparkgarden.org/;Riley Park;"{""coordinates"": [-123.10448685, 49.24298494], ""type"": ""Point""}";49.24298494, -123.10448685
FA181;2018;Still Creek Community Garden;2750;E;29th;Av;2750 E 29th Av, Vancouver, BC;45;;;;;Park Board;Collingwood Neighbourhood House Society;stillcreekcommunitygarden@gmail.com;https://rcfood.wordpress.com/;Renfrew-Collingwood;"{""coordinates"": [-123.045562, 49.243584], ""type"": ""Point""}";49.243584, -123.045562
FA182;2019;Macleod Manor Community Garden;8725;;French;St;8725 French St, Vancouver, BC;5;;;;;Private;Brightside Community Homes Foundation;;;Marpole;"{""coordinates"": [-123.1396302, 49.2069012], ""type"": ""Point""}";49.2069012, -123.1396302
FA185;2020;Astoria Community Garden;369;;Hawks;Av;369 Hawks Av, Vancouver, BC;138;;;;;Private;managed by DTES NH House;ED@dtesnhouse.ca;;Strathcona;"{""coordinates"": [-123.087377, 49.28134], ""type"": ""Point""}";49.28134, -123.087377
FA187;2020;Centrepoint Gardens;2990;;Quebec;St;2990 Quebec St, Vancouver, BC;20;;;;;Private;Centrepoint Development;centrepoint.caretaker@hotmail.com;;Mount Pleasant;"{""coordinates"": [-123.102952, 49.258797], ""type"": ""Point""}";49.258797, -123.102952
FA189;1978;City Farmer Compost Demonstration Centre;2150;;Maple;St;2150 Maple St, Vancouver, BC;1;;;;;City;City Farmer;cityfarmer@gmail.com;https://cityfarmer.info/;Kitsilano;"{""coordinates"": [-123.1497228, 49.2666997], ""type"": ""Point""}";49.2666997, -123.1497228
FA191;2022;Chen Chen Stway at Oxford Park;;;Wall;St;;;;;;;;;;;Grandview-Woodland;"{""coordinates"": [-123.062440610206, 49.2854432824465], ""type"": ""Point""}";49.2854432824465, -123.062440610206
